Strain	Medium	Hour	Sample	ngDNA
MK1	Sterile_soil	0h	3	0.00
MK1	Sterile_soil	0h	4	0.00
MK1	Sterile_soil	0h	5	0.01
MK1	Sterile_soil	0h	6	0.00
MK1	Sterile_soil	0h	7	0.02
MK1	Sterile_soil	0h	8	0.00
MK1	Sterile_soil	0h	9	1.45
MK1	Sterile_soil	72h	1	0.11
MK1	Sterile_soil	72h	2	2.32
MK1	Sterile_soil	72h	3	1.29
MK1	Sterile_soil	72h	4	2.07
MK1	Sterile_soil	72h	5	3.61
MK1	Sterile_soil	72h	6	0.00
MK1	Sterile_soil	72h	7	0.00
MK1	Sterile_soil	72h	8	0.00
MK1	Sterile_soil	72h	9	0.01
MK1	Sterile_soil	168h	1	0.01
MK1	Sterile_soil	168h	2	0.00
MK1	Sterile_soil	168h	3	0.01
MK1	Sterile_soil	168h	4	13.33
MK1	Sterile_soil	168h	5	29.37
MK1	Sterile_soil	168h	6	0.03
MK1	Sterile_soil	168h	7	0.14
MK1	Sterile_soil	168h	8	62.44
MK1	Sterile_soil	168h	9	0.02
P1	Sterile_soil	0h	1	0.00
P1	Sterile_soil	0h	2	0.01
P1	Sterile_soil	0h	3	0.01
P1	Sterile_soil	0h	4	0.01
P1	Sterile_soil	0h	5	0.00
P1	Sterile_soil	0h	6	0.00
P1	Sterile_soil	0h	7	0.01
P1	Sterile_soil	0h	8	0.00
P1	Sterile_soil	0h	9	0.00
P1	Sterile_soil	72h	1	0.00
P1	Sterile_soil	72h	2	0.05
P1	Sterile_soil	72h	3	2.51
P1	Sterile_soil	72h	4	0.00
P1	Sterile_soil	72h	5	3.07
P1	Sterile_soil	72h	6	4.79
P1	Sterile_soil	72h	7	0.00
P1	Sterile_soil	72h	8	18.99
P1	Sterile_soil	72h	9	73.50
P1	Sterile_soil	168h	1	0.91
P1	Sterile_soil	168h	2	0.03
P1	Sterile_soil	168h	3	0.00
P1	Sterile_soil	168h	4	0.11
P1	Sterile_soil	168h	5	0.02
P1	Sterile_soil	168h	6	3.41
P1	Sterile_soil	168h	7	390.31
P1	Sterile_soil	168h	8	0.06
P1	Sterile_soil	168h	9	0.04
T22	Sterile_soil	0h	1	0.00
T22	Sterile_soil	0h	2	0.00
T22	Sterile_soil	0h	3	0.00
T22	Sterile_soil	0h	4	0.00
T22	Sterile_soil	0h	5	0.00
T22	Sterile_soil	0h	6	0.00
T22	Sterile_soil	0h	7	0.00
T22	Sterile_soil	0h	8	0.00
T22	Sterile_soil	0h	9	0.01
T22	Sterile_soil	72h	1	0.00
T22	Sterile_soil	72h	2	0.00
T22	Sterile_soil	72h	3	1.43
T22	Sterile_soil	72h	4	5.72
T22	Sterile_soil	72h	5	0.00
T22	Sterile_soil	72h	6	0.00
T22	Sterile_soil	72h	7	69.47
T22	Sterile_soil	72h	8	0.02
T22	Sterile_soil	72h	9	0.22
T22	Sterile_soil	168h	1	6.02
T22	Sterile_soil	168h	2	8.37
T22	Sterile_soil	168h	3	3.16
T22	Sterile_soil	168h	4	3.44
T22	Sterile_soil	168h	5	0.17
T22	Sterile_soil	168h	6	14.07
T22	Sterile_soil	168h	7	191.10
T22	Sterile_soil	168h	8	0.01
T22	Sterile_soil	168h	9	0.14
